	H10_CCGTCC_L008_R1_001	H10_CCGTCC_L008_R2_001	H11_GTCCGC_L008_R1_001	H11_GTCCGC_L008_R2_001	H12_GTGAAA_L008_R1_001	H12_GTGAAA_L008_R2_001	H13_ATGTCA_L007_R1_001	H13_ATGTCA_L007_R2_001	H14_ACTTGA_L007_R1_001	H14_ACTTGA_L007_R2_001	H1_CGATGT_L006_R1_001	H1_CGATGT_L006_R2_001	H3_ACAGTG_L006_R1_001	H3_ACAGTG_L006_R2_001	H4_GCCAAT_L006_R1_001	H4_GCCAAT_L006_R2_001	H5_CAGATC_L006_R1_001	H5_CAGATC_L006_R2_001	H6_CTTGTA_L007_R1_001	H6_CTTGTA_L007_R2_001	H8_AGTTCC_L007_R1_001	H8_AGTTCC_L007_R2_001	H9_ATCACG_L008_R1_001	H9_ATCACG_L008_R2_001	Hofmocke17_AGTTCC_L005_R1_001	Hofmocke17_AGTTCC_L005_R2_001	Hofmockel15_GATCAG_L003_R1_001	Hofmockel15_GATCAG_L003_R2_001	Hofmockel16_TAGCTT_L003_R1_001	Hofmockel16_TAGCTT_L003_R2_001	Hofmockel18_GTGGCC_L005_R1_001	Hofmockel18_GTGGCC_L005_R2_001	Hofmockel19_GTTTCG_L005_R1_001	Hofmockel19_GTTTCG_L005_R2_001	Hofmockel20_CGTACG_L005_R1_001	Hofmockel20_CGTACG_L005_R2_001	Hofmockel2_TGACCA_L003_R1_001	Hofmockel2_TGACCA_L003_R2_001	Hofmockel30_GAGTGG_L006_R1_001	Hofmockel30_GAGTGG_L006_R2_001	Hofmockel34_ACTGAT_L006_R1_001	Hofmockel34_ACTGAT_L006_R2_001	Hofmockel35_ATTCCT_L006_R1_001	Hofmockel35_ATTCCT_L006_R2_001	Hofmockel39_CGATGT_L006_R1_001	Hofmockel39_CGATGT_L006_R2_001	Hofmockel41_TGACCA_L001_R1_001	Hofmockel41_TGACCA_L001_R2_001	Hofmockel43_ACAGTG_L001_R1_001	Hofmockel43_ACAGTG_L001_R2_001	Hofmockel57_GCCAAT_L001_R1_001	Hofmockel57_GCCAAT_L001_R2_001	Hofmockel59_CAGATC_L001_R1_001	Hofmockel59_CAGATC_L001_R2_001	Hofmockel7_AGTCAA_L003_R1_001	Hofmockel7_AGTCAA_L003_R2_001
ido:I598_0358	0	0	1	0	2	1	0	0	5	1	0	2	0	0	3	2	0	0	2	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	2	0	1	3	1	0	0	0	0	0	1	0	1	1	0	0	7	5	1	2	0	0
ccr:CC_0977	0	0	1	1	0	0	0	1	1	2	0	0	0	0	2	4	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	1	0	0
bgo:BM43_3373	0	0	0	0	2	1	0	0	0	0	1	2	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	0
aua:M673_04500	0	0	0	0	0	1	2	0	1	0	0	1	0	0	2	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0
dab:AUC44_11575	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
tah:SU86_008195	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	4
rca:Rcas_0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rmu:RMDY18_07300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
agr:AGROH133_03261	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
sal:Sala_2389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
mop:Mesop_4293	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0
mex:Mext_3651	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
babu:DK53_1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
babu:DK53_1432	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
babu:DK53_1439	0	4	4	2	6	5	7	0	12	17	3	5	1	2	7	3	0	0	1	2	2	5	2	6	0	0	0	0	1	2	0	0	1	3	2	1	3	5	2	4	0	0	0	0	4	1	4	0	2	2	21	10	1	1	10	6
rud:TH61_13325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
bgo:BM43_3553	2	0	2	4	6	5	4	1	16	17	9	9	5	6	17	8	0	0	4	2	1	5	3	8	1	1	5	4	4	2	0	0	1	1	1	3	3	6	2	2	0	0	0	0	1	0	2	3	0	0	17	19	3	1	3	5
xsa:SB85_09510	1	0	2	3	2	1	0	0	2	9	5	3	2	3	2	1	0	0	2	2	1	1	1	1	0	0	0	0	2	1	0	0	0	0	1	2	3	2	0	2	0	0	0	0	0	0	1	0	0	1	5	5	3	2	0	1
rhb:NY08_638	0	0	0	1	1	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	4	1	1	0	0
ops:A8A54_03015	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaz:ADJ80_06065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yan:AYJ57_08790	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
aay:WYH_01369	1	0	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0
bgo:BM43_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sdf:ACG33_11200	1	4	3	1	0	0	0	0	4	1	1	0	0	0	2	5	0	0	2	0	1	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1
babb:DK48_751	0	0	0	1	0	0	1	0	3	2	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	1	0	0	0
agr:AGROH133_05245	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
buq:AC233_03665	0	0	2	1	0	1	0	0	3	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ecx:EcHS_A4516	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
tmz:Tmz1t_2787	0	0	5	3	2	2	2	0	5	10	2	2	2	2	17	10	0	0	2	3	3	2	1	1	0	2	0	1	0	2	0	0	0	1	3	3	4	3	0	1	0	0	0	0	1	0	5	3	0	0	18	14	2	4	1	2
sch:Sphch_0239	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	2	2	2	2
sku:Sulku_1568	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bcew:DM40_1048	7	12	9	23	22	21	3	2	56	59	23	20	17	21	87	81	0	0	8	5	12	16	27	31	4	1	8	10	11	13	0	0	5	9	23	15	19	9	14	17	0	0	0	0	13	16	16	8	6	6	50	61	13	11	27	33
bcew:DM40_1049	36	40	76	70	97	94	36	35	410	360	94	106	70	69	303	311	2	0	80	81	83	79	150	141	23	28	92	75	109	96	0	0	26	24	62	46	101	88	58	80	0	0	0	0	113	99	49	43	37	28	337	334	120	97	137	136
pgb:H744_2c3302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bbt:BBta_7039	0	0	2	3	1	1	0	0	11	9	3	2	0	0	3	1	0	0	1	1	0	0	3	3	0	0	1	2	1	1	0	0	2	0	0	0	2	2	3	1	0	0	0	0	2	3	1	0	1	0	2	1	0	2	0	2
bcew:DM40_1042	2	0	0	0	1	1	0	0	6	8	2	1	0	2	4	4	0	0	3	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	2	0	0	0	0	0	0	2	0	0	0	9	8	2	2	3	3
bcew:DM40_1043	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bcew:DM40_1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
bcew:DM40_1041	0	0	0	0	0	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0
bcew:DM40_1046	0	0	6	6	2	4	1	0	4	10	3	5	0	0	3	6	0	0	7	2	1	2	3	4	1	0	0	0	2	3	0	0	1	1	1	0	3	5	1	4	0	0	0	0	4	3	1	2	0	2	27	20	2	5	6	17
bcew:DM40_1044	120	128	297	350	358	365	87	94	1425	1326	424	432	212	208	1014	1069	9	8	321	317	379	363	555	551	112	85	240	259	336	334	0	0	137	110	234	244	350	347	293	249	0	0	0	0	419	416	228	225	115	120	1377	1400	405	454	508	485
bcew:DM40_1045	19	23	44	59	69	67	9	8	210	210	70	67	46	45	191	211	3	0	65	66	54	57	91	95	18	25	31	41	49	50	0	0	15	17	42	41	65	57	43	38	0	0	0	0	70	68	41	27	23	9	261	265	76	83	69	69
